tract,population,state,county,median_income,burglaries_count,burglary_rate,burglaries_per_1000
010106,3397,47,037,63864.0,7.0,0.0020606417427141595,2.0606417427141595
010103,2533,47,037,70341.0,0.0,0.0,0.0
010202,3962,47,037,78750.0,0.0,0.0,0.0
010104,2955,47,037,64844.0,5.0,0.001692047377326565,1.6920473773265652
013300,3997,47,037,69006.0,12.0,0.003002251688766575,3.002251688766575
018102,3619,47,037,81724.0,2.0,0.0005526388505111909,0.5526388505111909
010602,4125,47,037,49242.0,6.0,0.0014545454545454545,1.4545454545454544
019200,3897,47,037,54837.0,4.0,0.0010264305876315114,1.0264305876315114
019500,7956,47,037,75446.0,19.0,0.0023881347410759177,2.388134741075918
019400,5810,47,037,81286.0,9.0,0.001549053356282272,1.549053356282272
016700,5304,47,037,113875.0,6.0,0.0011312217194570137,1.1312217194570138
015612,7324,47,037,56286.0,2.0,0.00027307482250136535,0.27307482250136533
010105,4435,47,037,64688.0,3.0,0.0006764374295377678,0.6764374295377678
010303,5105,47,037,53143.0,1.0,0.0001958863858961802,0.1958863858961802
011300,5643,47,037,45644.0,9.0,0.001594896331738437,1.594896331738437
017901,4900,47,037,98843.0,1.0,0.00020408163265306123,0.20408163265306123
015620,7262,47,037,54149.0,6.0,0.0008262186725419994,0.8262186725419994
011400,4617,47,037,50857.0,3.0,0.000649772579597141,0.649772579597141
010702,3066,47,037,26403.0,11.0,0.003587736464448793,3.587736464448793
010801,5463,47,037,52991.0,6.0,0.001098297638660077,1.098297638660077
013202,3330,47,037,64583.0,1.0,0.0003003003003003003,0.3003003003003003
013201,2934,47,037,52478.0,2.0,0.0006816632583503749,0.6816632583503749
018409,4205,47,037,65887.0,0.0,0.0,0.0
018410,3467,47,037,58028.0,4.0,0.0011537352177675222,1.1537352177675222
015803,2932,47,037,37846.0,8.0,0.002728512960436562,2.728512960436562
015804,4098,47,037,45129.0,8.0,0.0019521717911176184,1.9521717911176184
015629,7127,47,037,54100.0,12.0,0.0016837378981338573,1.6837378981338573
015626,6740,47,037,50264.0,4.0,0.0005934718100890207,0.5934718100890207
015628,3800,47,037,50880.0,7.0,0.0018421052631578947,1.8421052631578947
011500,3631,47,037,62526.0,1.0,0.0002754062241806665,0.2754062241806665
015300,6024,47,037,68532.0,4.0,0.0006640106241699867,0.6640106241699867
018601,2503,47,037,190375.0,1.0,0.00039952057530962844,0.3995205753096284
010903,5863,47,037,39473.0,11.0,0.001876172607879925,1.876172607879925
015401,5829,47,037,71336.0,2.0,0.00034311202607651396,0.343112026076514
013100,2448,47,037,63529.0,2.0,0.0008169934640522876,0.8169934640522876
015619,5105,47,037,74335.0,1.0,0.0001958863858961802,0.1958863858961802
015609,4744,47,037,64934.0,3.0,0.0006323777403035413,0.6323777403035413
015405,4882,47,037,62143.0,1.0,0.00020483408439164277,0.20483408439164277
019112,4646,47,037,72845.0,2.0,0.00043047783039173483,0.4304778303917348
018407,5001,47,037,105917.0,3.0,0.0005998800239952009,0.5998800239952009
011700,5971,47,037,68889.0,6.0,0.0010048568079048736,1.0048568079048736
018404,4963,47,037,74800.0,3.0,0.0006044731009470078,0.6044731009470078
012801,5616,47,037,36570.0,11.0,0.001958689458689459,1.9586894586894588
011600,4998,47,037,66008.0,4.0,0.0008003201280512205,0.8003201280512205
018500,4886,47,037,167738.0,0.0,0.0,0.0
019111,4408,47,037,47375.0,9.0,0.002041742286751361,2.041742286751361
010901,3335,47,037,61250.0,3.0,0.0008995502248875562,0.8995502248875562
015617,2459,47,037,61397.0,2.0,0.0008133387555917039,0.813338755591704
018000,4897,47,037,111161.0,2.0,0.0004084133142740453,0.4084133142740453
012701,6072,47,037,33149.0,11.0,0.0018115942028985507,1.8115942028985508
